gene,gene_name,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
ENSG00000142655,PEX14,I: Ubiquitous,0.0990256356815339,0.0753773821574778,0.0711233847436431,0.17284353444795048
ENSG00000130940,CASZ1,I: Ubiquitous,0.1451907044601917,0.0929252840548744,0.0711233847436431,0.17284353444795048
ENSG00000120948,TARDBP,I: Ubiquitous,0.2012036265110462,0.0523809883777157,0.0711233847436431,0.17284353444795048
ENSG00000116649,SRM,I: Ubiquitous,0.1138234681117132,0.077290176499469,0.0711233847436431,0.17284353444795048
ENSG00000171824,EXOSC10,I: Ubiquitous,0.074822842851188,0.0560227854500104,0.0711233847436431,0.17284353444795048
ENSG00000198793,MTOR,I: Ubiquitous,0.1208055439766569,0.0803496991393942,0.0711233847436431,0.17284353444795048
ENSG00000120942,UBIAD1,IV: Basal,0.0533816173405585,0.0945608208698562,0.0711233847436431,0.17284353444795048
ENSG00000116661,FBXO2,I: Ubiquitous,0.1402407253022092,0.0894634637616095,0.0711233847436431,0.17284353444795048
ENSG00000132879,FBXO44,I: Ubiquitous,0.133362859524802,0.0663530906407388,0.0711233847436431,0.17284353444795048
ENSG00000116663,FBXO6,IV: Basal,0.0150844101709045,0.0606798427914651,0.0711233847436431,0.17284353444795048
ENSG00000116670,MAD2L2,I: Ubiquitous,0.0744581075448103,0.1199226420667577,0.0711233847436431,0.17284353444795048
ENSG00000177674,AGTRAP,I: Ubiquitous,0.1271884118382659,0.0707617525091226,0.0711233847436431,0.17284353444795048
ENSG00000177000,MTHFR,IV: Basal,0.0398603584827011,0.0734484756438889,0.0711233847436431,0.17284353444795048
ENSG00000011021,CLCN6,IV: Basal,0.057002917882451,0.0804292889376925,0.0711233847436431,0.17284353444795048
ENSG00000285646,ENSG00000285646,IV: Basal,0.0055752396832013,0.0943008906274562,0.0711233847436431,0.17284353444795048
ENSG00000116685,KIAA2013,I: Ubiquitous,0.1190339724885369,0.077037105858906,0.0711233847436431,0.17284353444795048
ENSG00000083444,PLOD1,IV: Basal,0.0404335139641517,0.0674596986181944,0.0711233847436431,0.17284353444795048
ENSG00000116688,MFN2,I: Ubiquitous,0.1560285535639849,0.0648253969799107,0.0711233847436431,0.17284353444795048
ENSG00000116691,MIIP,IV: Basal,0.0422050854522717,0.0643515850834313,0.0711233847436431,0.17284353444795048
ENSG00000048707,VPS13D,I: Ubiquitous,0.2730825343893289,0.0922370769135386,0.0711233847436431,0.17284353444795048
ENSG00000162496,DHRS3,I: Ubiquitous,0.1252084201750729,0.1140634753774586,0.0711233847436431,0.17284353444795048
ENSG00000116731,PRDM2,I: Ubiquitous,0.1308878699458107,0.0797589515288186,0.0711233847436431,0.17284353444795048
ENSG00000189337,KAZN,II: Gradient,0.4125156315131305,0.2226779609988332,0.0711233847436431,0.17284353444795048
ENSG00000231606,ENSG00000231606,IV: Basal,0.0178199249687369,0.128851249132909,0.0711233847436431,0.17284353444795048
ENSG00000234593,KAZN-AS1,IV: Basal,0.011463109629012,0.1211157791233151,0.0711233847436431,0.17284353444795048
ENSG00000175147,TMEM51-AS1,IV: Basal,0.0189662359316381,0.09479432236864,0.0711233847436431,0.17284353444795048
ENSG00000171729,TMEM51,I: Ubiquitous,0.1071540225093789,0.0814123705989037,0.0711233847436431,0.17284353444795048
ENSG00000142621,FHAD1,IV: Basal,0.0087275948311796,0.1046772535391659,0.0711233847436431,0.17284353444795048
ENSG00000142634,EFHD2,IV: Basal,0.0642194664443518,0.0926375605661502,0.0711233847436431,0.17284353444795048
ENSG00000132906,CASP9,IV: Basal,0.0487442684451854,0.0590813052175027,0.0711233847436431,0.17284353444795048
ENSG00000116138,DNAJC16,I: Ubiquitous,0.1178616090037515,0.0719900698179644,0.0711233847436431,0.17284353444795048
ENSG00000116771,AGMAT,IV: Basal,0.0126354731137974,0.1014354327168387,0.0711233847436431,0.17284353444795048
ENSG00000197312,DDI2,I: Ubiquitous,0.0745362651104627,0.0635902825296286,0.0711233847436431,0.17284353444795048
ENSG00000116786,PLEKHM2,I: Ubiquitous,0.0827167569820758,0.0517227537888981,0.0711233847436431,0.17284353444795048
ENSG00000162461,SLC25A34,IV: Basal,0.0104991663192997,0.1321104797501064,0.0711233847436431,0.17284353444795048
ENSG00000162458,FBLIM1,IV: Basal,0.0090141725719049,0.1557224949956021,0.0711233847436431,0.17284353444795048
ENSG00000233954,UQCRHL,IV: Basal,0.0071123384743643,0.1023278094970585,0.0711233847436431,0.17284353444795048
ENSG00000179743,SPEN-AS1,IV: Basal,0.0655481450604418,0.0661279796185195,0.0711233847436431,0.17284353444795048
ENSG00000065526,SPEN,I: Ubiquitous,0.1981554814506044,0.0756060054744461,0.0711233847436431,0.17284353444795048
ENSG00000116809,ZBTB17,IV: Basal,0.0453313880783659,0.0619268509753706,0.0711233847436431,0.17284353444795048
ENSG00000183888,SRARP,III: Patchy,0.0053928720300125,0.2398464659333284,0.0711233847436431,0.17284353444795048
ENSG00000173641,HSPB7,IV: Basal,0.0482753230512713,0.1049308725662645,0.0711233847436431,0.17284353444795048
ENSG00000186510,CLCNKA,I: Ubiquitous,0.433097123801584,0.1258906054848579,0.0711233847436431,0.17284353444795048
ENSG00000184908,CLCNKB,I: Ubiquitous,0.6110879533138808,0.0998878413327706,0.0711233847436431,0.17284353444795048
ENSG00000185519,FAM131C,I: Ubiquitous,0.0782357232180075,0.0936215595072548,0.0711233847436431,0.17284353444795048
