gene,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
HSPG2,I: Ubiquitous,0.1666511233385292,0.1990218173073205,0.0597574352620383,0.2120822446921291
LINC00339,IV: Basal,0.0439476500708331,0.0667918704372083,0.0597574352620383,0.2120822446921291
CDC42,I: Ubiquitous,0.5593422063532244,0.1295746692080884,0.0597574352620383,0.2120822446921291
ZBTB40,IV: Basal,0.0486328532665414,0.0912093655433797,0.0597574352620383,0.2120822446921291
C1QA,IV: Basal,0.0343152275765286,0.1068942970458124,0.0597574352620383,0.2120822446921291
C1QC,IV: Basal,0.0235636854563299,0.1110356940470647,0.0597574352620383,0.2120822446921291
C1QB,IV: Basal,0.0268189024633954,0.1115770468721035,0.0597574352620383,0.2120822446921291
EPHB2,IV: Basal,0.0270054224010445,0.1551534289487876,0.0597574352620383,0.2120822446921291
KDM1A,I: Ubiquitous,0.1197768866269645,0.087973703348435,0.0597574352620383,0.2120822446921291
ENSG00000240553,IV: Basal,0.0089263113017759,0.1547388820653621,0.0597574352620383,0.2120822446921291
LUZP1,I: Ubiquitous,0.1168947094951971,0.0894134430658402,0.0597574352620383,0.2120822446921291
LINC01355,IV: Basal,0.0241854185818267,0.1430979208723798,0.0597574352620383,0.2120822446921291
HNRNPR,I: Ubiquitous,0.2726566212357389,0.0519751976394805,0.0597574352620383,0.2120822446921291
ZNF436,IV: Basal,0.0204106103198816,0.1017304971175009,0.0597574352620383,0.2120822446921291
ZNF436-AS1,IV: Basal,0.0180480244429937,0.112215712359255,0.0597574352620383,0.2120822446921291
TCEA3,I: Ubiquitous,0.2100747412035865,0.145276624577609,0.0597574352620383,0.2120822446921291
ASAP3,IV: Basal,0.0408167796888669,0.1481743609702881,0.0597574352620383,0.2120822446921291
ID3,I: Ubiquitous,0.1715539331281614,0.1965680987686922,0.0597574352620383,0.2120822446921291
RPL11,I: Ubiquitous,0.8917962314090693,0.1982347188835808,0.0597574352620383,0.2120822446921291
ELOA-AS1,IV: Basal,0.0363136554799113,0.1035141036059541,0.0597574352620383,0.2120822446921291
ELOA,I: Ubiquitous,0.0631281169924104,0.0741142343381804,0.0597574352620383,0.2120822446921291
PITHD1,I: Ubiquitous,0.1198435008904106,0.0393114059348919,0.0597574352620383,0.2120822446921291
LYPLA2,I: Ubiquitous,0.1598253818107533,0.0549296219838338,0.0597574352620383,0.2120822446921291
GALE,I: Ubiquitous,0.0856392970862921,0.1145378667614807,0.0597574352620383,0.2120822446921291
HMGCL,I: Ubiquitous,0.1594479009845588,0.0704323864629577,0.0597574352620383,0.2120822446921291
FUCA1,I: Ubiquitous,0.1757062222163009,0.0995453772191816,0.0597574352620383,0.2120822446921291
PNRC2,I: Ubiquitous,0.2602441634802844,0.0486888127968453,0.0597574352620383,0.2120822446921291
SRSF10,I: Ubiquitous,0.2973172215634811,0.0550460599712833,0.0597574352620383,0.2120822446921291
MYOM3,IV: Basal,0.0299853004525328,0.1735450934990131,0.0597574352620383,0.2120822446921291
IFNLR1,IV: Basal,0.0211744538740635,0.1359828470103534,0.0597574352620383,0.2120822446921291
STPG1,IV: Basal,0.04161615085022,0.1174370111201933,0.0597574352620383,0.2120822446921291
NIPAL3,I: Ubiquitous,0.0878953001416663,0.1173810598248651,0.0597574352620383,0.2120822446921291
RCAN3AS,IV: Basal,0.0053202591738943,0.1160610922991123,0.0597574352620383,0.2120822446921291
RCAN3,I: Ubiquitous,0.0823663162756409,0.1060184291674429,0.0597574352620383,0.2120822446921291
NCMAP,IV: Basal,0.015720966173277,0.1709928519476546,0.0597574352620383,0.2120822446921291
SRRM1,I: Ubiquitous,0.3642423515723186,0.0766534871401361,0.0597574352620383,0.2120822446921291
CLIC4,I: Ubiquitous,0.2344955301829227,0.1853216302032706,0.0597574352620383,0.2120822446921291
RUNX3,IV: Basal,0.027382903227239,0.2084754387145731,0.0597574352620383,0.2120822446921291
SYF2,I: Ubiquitous,0.3514568539415659,0.1094143939186857,0.0597574352620383,0.2120822446921291
ENSG00000284602,IV: Basal,0.0073764194389302,0.1345334018372072,0.0597574352620383,0.2120822446921291
RSRP1,I: Ubiquitous,0.3737459864906273,0.1064402870752055,0.0597574352620383,0.2120822446921291
TMEM50A,I: Ubiquitous,0.3803274757191009,0.1110965463543152,0.0597574352620383,0.2120822446921291
MACO1,I: Ubiquitous,0.1191595944523641,0.0942919290015246,0.0597574352620383,0.2120822446921291
LDLRAP1,IV: Basal,0.0464257006710276,0.0628299740601968,0.0597574352620383,0.2120822446921291
MAN1C1,I: Ubiquitous,0.0818289612171758,0.0825567136543665,0.0597574352620383,0.2120822446921291
SELENON,I: Ubiquitous,0.1385621089187617,0.0868674030212981,0.0597574352620383,0.2120822446921291
