gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used
H6PD,225177,detect_continuous,1e-06,0.0711928838202836,0.1060930255567522,1,0.0613249246926409,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
SPSB1,225177,detect_continuous,1e-06,0.0225644715046385,0.1136359043241024,1,0.0661899804956703,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
SLC25A33,225177,detect_continuous,1e-06,0.0920564711315986,0.089737187055043,1,0.0143565930117421,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
TMEM201,225177,detect_continuous,1e-06,0.0343152275765286,0.1209093979329293,1,0.0601519100799859,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
PIK3CD,225177,detect_continuous,1e-06,0.034888110242165,0.0897669925017516,-1,-0.0433216030740269,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
PIK3CD-AS2,225177,detect_continuous,1e-06,0.0263792483246512,0.1191851880081328,1,0.0462967980597051,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
CLSTN1,225177,detect_continuous,1e-06,0.2448163000661701,0.094871221313294,1,0.074898137627484,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CTNNBIP1,225177,detect_continuous,1e-06,0.0758514413106134,0.0628955249438717,1,0.0011359531565004,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
LZIC,225177,detect_continuous,1e-06,0.134485315995861,0.0337312697881099,1,0.0027101022340256,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
NMNAT1,225177,detect_continuous,1e-06,0.0430772236951376,0.0993690952905843,1,0.0226893962248555,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
RBP7,225177,detect_continuous,1e-06,0.0589713869533744,0.1535493713776508,-1,-0.0404111272314306,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
UBE4B,225177,detect_continuous,1e-06,0.1027369580374549,0.1149911652105769,-1,-0.0013630428999319,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
KIF1B,225177,detect_continuous,1e-06,0.1575116463937258,0.1421497929551553,1,0.0105628220149405,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PGD,225177,detect_continuous,1e-06,0.1370877132211549,0.0847132994891232,1,0.0096183388566337,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CENPS,225177,detect_continuous,1e-06,0.0588958907881355,0.1092751416630752,1,0.0494451464762651,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
CORT,225177,detect_continuous,1e-06,0.0086598542479915,0.1185238262875697,1,0.064878820804754,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
DFFA,225177,detect_continuous,1e-06,0.0973589665019073,0.0795622485224381,1,0.0274091091646564,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PEX14,225177,detect_continuous,1e-06,0.0754339919263512,0.1179383005642189,1,0.0106774663892297,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CASZ1,225177,detect_continuous,1e-06,0.0831745693387868,0.1592821154046767,1,0.0828495244062077,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
TARDBP,225177,detect_continuous,1e-06,0.1676192506339457,0.0446260455941399,1,0.0152742724318256,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
SRM,225177,detect_continuous,1e-06,0.1349027653801232,0.0435169007816542,1,0.0044416702231564,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
EXOSC10,225177,detect_continuous,1e-06,0.0714326951686895,0.0742214853027854,1,0.0219892848049841,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
MTOR,225177,detect_continuous,1e-06,0.0706777335163005,0.1101973924575382,-1,-0.0060957492340934,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
UBIAD1,225177,detect_continuous,1e-06,0.0400662589873743,0.0807276965256948,1,0.0279588791960027,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
FBXO2,225177,detect_continuous,1e-06,0.0897338538127783,0.1283058699915471,1,0.0865934001912268,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
FBXO44,225177,detect_continuous,1e-06,0.0807720149038312,0.0976954961419225,1,0.0397190550867532,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
FBXO6,225177,detect_continuous,1e-06,0.0280579277634927,0.0805983617567739,-1,-0.0259300161573567,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MAD2L2,225177,detect_continuous,1e-06,0.0767751590970658,0.0678605243388588,1,0.0202793075156999,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
