gene,coverage,A1_abs,A2_abs
Arpc1b,0.4699170124481328,0.47183349780996553,0.08359912273102364
Arpc2,0.46213692946058094,0.4632289846606406,0.04892155255686545
Arpc3,0.3869294605809129,0.3900556627407808,0.1908600456370106
Arpc5,0.19553941908713693,0.19658574950209787,0.11912326362955998
Arpc5l,0.10684647302904564,0.10737980275312396,0.12228894563278014
Arpp19,0.3029045643153527,0.3042112217561614,0.09795047732983535
Aspn,0.31068464730290457,0.3057224141557678,0.34651303021719415
Atcayos,0.1037344398340249,0.1032717513914288,0.485108702609308
Atf3,0.14937759336099585,0.15042272097291995,0.17549921699363624
Atf4,0.24948132780082988,0.2494651062296581,0.023819646932479004
Atox1,0.3947095435684647,0.3963602585235871,0.07584109444707643
Atp1a1,0.13226141078838174,0.1328320758290946,0.19233013620823877
Atp1b1,0.1037344398340249,0.103211314468383,0.36473002684886957
Atp1b3,0.1991701244813278,0.20130747668391127,0.22838080064870522
Atp2a2,0.20072614107883818,0.20011334199155112,0.22284549605893422
Atp2b1,0.11566390041493776,0.11597042140713695,0.029430998091184952
Atp5a1,0.5378630705394191,0.537322371333865,0.10504465436762635
Atp5b,0.6913900414937759,0.6910750961535365,0.056535776072719
Atp5c1,0.5311203319502075,0.5313211009025398,0.08013815009553878
Atp5d,0.5456431535269709,0.5460693145924398,0.10020837047174912
Atp5e,0.48443983402489627,0.4843946811593108,0.10278043824106478
Atp5f1,0.4948132780082988,0.4943312523918826,0.09767627546850202
Atp5g1,0.5098547717842323,0.5093464387096206,0.13327701249952553
Atp5g3,0.42012448132780084,0.41989482336821016,0.11927590130785108
Atp5h,0.5570539419087137,0.5569941783355755,0.10803043798144002
Atp5j,0.7359958506224067,0.7372604528745563,0.06442758238976325
Atp5j2,0.6130705394190872,0.6126983491958667,0.07099028542633357
Atp5k,0.6493775933609959,0.6494844196869197,0.0989139693019344
Atp5l,0.12551867219917012,0.12544957415067015,0.1072210121597534
Atp5o,0.5726141078838174,0.5731001587608531,0.10143233009688395
Atp6ap1,0.10943983402489627,0.1099209130401484,0.0946816809839357
Atp6v0b,0.17634854771784234,0.17715627141820256,0.1230556823785805
Atp6v0d1,0.1312240663900415,0.13178837281606257,0.05330820420682241
Atp6v0e,0.31016597510373445,0.3104744042314049,0.048198677656877804
Atp6v1a,0.12344398340248963,0.12404016010412737,0.0997249075257095
Atp6v1e1,0.14678423236514523,0.14720380980112593,0.10698719977542645
Atp6v1f,0.33973029045643155,0.34065352226812895,0.07317947975143148
Atp6v1g1,0.2074688796680498,0.20809689976348425,0.09710196999227302
Atpif1,0.6737551867219918,0.6749750320337122,0.07367075293329751
Atraid,0.17012448132780084,0.17010692650181564,0.04542655046161024
Atxn10,0.17219917012448133,0.17249118697151028,0.031498267244466624
Atxn7l3b,0.17064315352697096,0.17127756014336495,0.09906061688738253
Aup1,0.13226141078838174,0.13221002040665383,0.022935248764233085
Aurkaip1,0.1400414937759336,0.1403952260350252,0.08516361546255835
Axl,0.1566390041493776,0.15579670537435342,0.16971696634521158
Azin1,0.13018672199170125,0.13031495382690803,0.062485888567074016
